time	charge	power
554	-nan(ind)	-nan(ind)
555	-nan(ind)	-nan(ind)
556	-nan(ind)	-nan(ind)
557	-nan(ind)	-nan(ind)
558	-nan(ind)	-nan(ind)
559	-nan(ind)	-nan(ind)
560	-nan(ind)	-nan(ind)
561	-nan(ind)	-nan(ind)
562	-nan(ind)	-nan(ind)
563	-nan(ind)	-nan(ind)
564	-nan(ind)	-nan(ind)
565	-nan(ind)	-nan(ind)
566	-nan(ind)	-nan(ind)
567	-nan(ind)	-nan(ind)
568	-nan(ind)	-nan(ind)
569	-nan(ind)	-nan(ind)
570	-nan(ind)	-nan(ind)
571	-nan(ind)	-nan(ind)
572	-nan(ind)	-nan(ind)
573	-nan(ind)	-nan(ind)
574	-nan(ind)	-nan(ind)
575	-nan(ind)	-nan(ind)
576	-nan(ind)	-nan(ind)
577	-nan(ind)	-nan(ind)
578	-nan(ind)	-nan(ind)
579	-nan(ind)	-nan(ind)
580	-nan(ind)	-nan(ind)
581	-nan(ind)	-nan(ind)
582	-nan(ind)	-nan(ind)
583	-nan(ind)	-nan(ind)
584	-nan(ind)	-nan(ind)
585	-nan(ind)	-nan(ind)
586	-nan(ind)	-nan(ind)
587	-nan(ind)	-nan(ind)
588	-nan(ind)	-nan(ind)
589	-nan(ind)	-nan(ind)
590	-nan(ind)	-nan(ind)
591	-nan(ind)	-nan(ind)
592	-nan(ind)	-nan(ind)
593	-nan(ind)	-nan(ind)
594	-nan(ind)	-nan(ind)
595	-nan(ind)	-nan(ind)
596	-nan(ind)	-nan(ind)
597	-nan(ind)	-nan(ind)
598	-nan(ind)	-nan(ind)
599	-nan(ind)	-nan(ind)
600	-nan(ind)	-nan(ind)
601	-nan(ind)	-nan(ind)
602	-nan(ind)	-nan(ind)
603	-nan(ind)	-nan(ind)
604	-nan(ind)	-nan(ind)
605	-nan(ind)	-nan(ind)
606	-nan(ind)	-nan(ind)
607	-nan(ind)	-nan(ind)
608	-nan(ind)	-nan(ind)
609	-nan(ind)	-nan(ind)
610	-nan(ind)	-nan(ind)
611	-nan(ind)	-nan(ind)
612	-nan(ind)	-nan(ind)
613	-nan(ind)	-nan(ind)
614	-nan(ind)	-nan(ind)
615	-nan(ind)	-nan(ind)
616	-nan(ind)	-nan(ind)
617	-nan(ind)	-nan(ind)
618	-nan(ind)	-nan(ind)
619	-nan(ind)	-nan(ind)
620	-nan(ind)	-nan(ind)
621	-nan(ind)	-nan(ind)
622	-nan(ind)	-nan(ind)
623	-nan(ind)	-nan(ind)
624	-nan(ind)	-nan(ind)
625	-nan(ind)	-nan(ind)
626	-nan(ind)	-nan(ind)
627	-nan(ind)	-nan(ind)
628	-nan(ind)	-nan(ind)
629	-nan(ind)	-nan(ind)
630	-nan(ind)	-nan(ind)
631	-nan(ind)	-nan(ind)
